time,JM1_p
2020-01-01,4.145388888888888
2020-01-02,4.153791666666667
2020-01-03,4.105166666666666
2020-01-04,4.129458333333333
2020-01-05,4.139895833333333
2020-01-06,4.142368055555556
2020-01-07,4.101756944444444
2020-01-08,4.1206805555555555
2020-01-09,4.143361111111111
2020-01-10,4.130486111111111
2020-01-11,4.102840277777778
2020-01-12,4.106430555555556
2020-01-13,4.127840277777778
2020-01-14,4.132027777777778
2020-01-15,4.1219930555555555
2020-01-16,4.108590277777778
2020-01-17,4.088784722222223
2020-01-18,4.118638888888889
2020-01-19,4.122416666666666
2020-01-20,4.1395625
2020-01-21,4.084756944444445
2020-01-22,4.133951388888889
2020-01-23,4.116944444444444
2020-01-24,4.0449375
2020-01-25,4.044887152777777
2020-01-26,4.053923611111111
2020-01-27,4.102291666666667
2020-01-28,4.128701388888889
2020-01-29,4.142979166666667
2020-01-30,4.134729166666667
2020-01-31,4.14675
2020-02-01,4.135694444444444
2020-02-02,4.104388888888889
2020-02-03,4.138791666666666
2020-02-04,4.150215277777778
2020-02-05,4.1495625
2020-02-06,4.143284722222222
2020-02-07,4.142256944444445
2020-02-08,4.1089375
2020-02-09,4.115256944444445
2020-02-10,4.116895833333333
2020-02-11,4.119666666666666
2020-02-12,4.132541666666667
2020-02-13,4.130131944444445
2020-02-14,4.1054513888888895
2020-02-15,4.108506944444445
2020-02-16,4.106243055555556
2020-02-17,4.118340277777778
2020-02-18,4.137659722222222
2020-02-19,4.1495625
2020-02-20,4.140402777777778
2020-02-21,4.129215277777778
2020-02-22,4.129090277777778
2020-02-23,4.101097222222222
2020-02-24,4.113930555555556
2020-02-25,4.127236111111111
2020-02-26,4.116395833333333
2020-02-27,4.113916666666666
2020-02-28,4.134326388888889
2020-02-29,4.098819444444445
2020-03-01,4.109597222222222
2020-03-02,4.114847222222222
2020-03-03,4.1136944444444445
2020-03-04,4.133506944444444
2020-03-05,4.123916666666666
2020-03-06,4.128319444444444
2020-03-07,4.1235277777777775
2020-03-08,4.103451388888889
2020-03-09,4.099597222222222
2020-03-10,4.114861111111111
2020-03-11,4.133958333333333
2020-03-12,4.108673611111111
2020-03-13,4.127465277777778
2020-03-14,4.125326388888889
2020-03-15,4.1103958333333335
2020-03-16,4.132569444444444
2020-03-17,4.126381944444445
2020-03-18,4.102736111111111
2020-03-19,4.102180555555556
2020-03-20,4.114249999999999
2020-03-21,4.086006944444445
2020-03-22,4.075708333333333
2020-03-23,4.121611111111111
2020-03-24,4.107819444444445
2020-03-25,4.121326388888889
2020-03-26,4.124499999999999
2020-03-27,4.109409722222223
2020-03-28,4.125583333333333
2020-03-29,4.131222222222222
2020-03-30,4.122645833333333
2020-03-31,4.105347222222222
2020-04-01,4.1054861111111105
2020-04-02,4.117527777777777
2020-04-03,4.129111111111111
2020-04-04,4.1200833333333335
2020-04-05,4.111868055555556
2020-04-06,4.14425
2020-04-07,4.1209999999999996
2020-04-08,4.113722222222222
2020-04-09,4.1114375
2020-04-10,4.143263888888889
2020-04-11,4.131625
2020-04-12,4.113347222222222
2020-04-13,4.143326388888889
2020-04-14,4.1315625
2020-04-15,4.077368055555556
2020-04-16,4.131659722222222
2020-04-17,4.119208333333333
2020-04-18,4.098270833333333
2020-04-19,4.148930555555555
2020-04-20,4.103
2020-04-21,4.131472222222222
2020-04-22,4.14875
2020-04-23,4.097381944444444
2020-04-24,4.151854166666666
2020-04-25,4.1081666666666665
2020-04-26,4.110590277777778
2020-04-27,4.127381944444445
2020-04-28,4.108645833333333
2020-04-29,4.115048611111111
2020-04-30,4.074416666666666
2020-05-01,4.101284722222222
2020-05-02,4.094333333333333
2020-05-03,4.061972222222222
2020-05-04,4.113576388888889
2020-05-05,4.079152777777778
2020-05-06,4.1206805555555555
2020-05-07,4.093965277777778
2020-05-08,4.115472222222222
2020-05-09,4.101256944444445
2020-05-10,4.112340277777777
2020-05-11,4.125118055555555
2020-05-12,4.099291666666667
